SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
PZA03188.4,1,280719882,0.000272675931752165,0.283154121863799,279,0.259636524014069,0.29625420720306,0.726136006256017,-5.77203022318383
an1.5,1,175504926,0.000910448482395249,0.381720430107527,279,0.259636524014069,0.289915819570541,0.95688460151547,4.93495432505904
PZB00811.1,8,160536300,0.00162812179582428,0.182795698924731,279,0.259636524014069,0.286906771865295,0.95688460151547,-8.15324073234819
PZB01892.1,3,161573186,0.00254433516137137,0.0483870967741935,279,0.259636524014069,0.284618761486541,0.95688460151547,-8.56599926647232
PZB02155.1,8,123272935,0.00269940377374985,0.491039426523297,279,0.259636524014069,0.284317173402552,0.95688460151547,-4.05176318022814
PZA00277.9,2,141942814,0.00276500219653144,0.193548387096774,279,0.259636524014069,0.284194886473148,0.95688460151547,5.00768011531355
PZA02945.10,10,33619582,0.00429523830188647,0.396057347670251,279,0.259636524014069,0.281963427422182,0.95688460151547,3.76792996054849
PZA03214.3,1,245136244,0.00432568106097045,0.161290322580645,279,0.259636524014069,0.281927837130873,0.95688460151547,4.8992691261011
PZA00265.6,3,55946581,0.004963407195644,0.412186379928315,279,0.259636524014069,0.281236066523837,0.95688460151547,-3.80964471961829
PZA00332.5,4,194749287,0.00504069280757679,0.324372759856631,279,0.259636524014069,0.281158494168251,0.95688460151547,-4.25495671004995
PZA02830.8,6,151958886,0.00540611374973994,0.261648745519713,279,0.259636524014069,0.280807510671471,0.95688460151547,4.38096178718249
PZA03591.1,8,134813437,0.00556298488109536,0.175627240143369,279,0.259636524014069,0.280664244479652,0.95688460151547,-4.8764735207813
PZD00014.4,3,133482561,0.00587247546854216,0.243727598566308,279,0.259636524014069,0.280393370440849,0.95688460151547,-4.31353315022864
PZA03117.3,7,170346140,0.00597547247921485,0.482078853046595,279,0.259636524014069,0.280306465217026,0.95688460151547,-3.60029258424629
PZA00007.1,10,144172316,0.00620173094951015,0.480286738351254,279,0.259636524014069,0.28012083796133,0.95688460151547,3.64037500720244
PZA03536.1,4,107751353,0.00662846025390105,0.379928315412186,279,0.259636524014069,0.27978894304884,0.95688460151547,3.35116707199376
PZA02916.5,9,15582100,0.00690108165911134,0.413978494623656,279,0.259636524014069,0.27958821143015,0.95688460151547,3.90759775762049
PZA03559.1,2,15810363,0.00783291286750593,0.426523297491039,279,0.259636524014069,0.278958918996158,0.95688460151547,-3.41645692385725
PZB01403.1,1,285273845,0.00807227966073009,0.410394265232975,279,0.259636524014069,0.278809697237786,0.95688460151547,3.45902601834791
PZA00460.8,8,163565334,0.0085721961009246,0.480286738351254,279,0.259636524014069,0.27851221891853,0.95688460151547,3.52858065032154
PZB00379.1,9,26661626,0.00866209277303563,0.471326164874552,279,0.259636524014069,0.278460625348746,0.95688460151547,3.51224467510588
PZA03624.1,7,20238391,0.00886156144206864,0.370967741935484,279,0.259636524014069,0.278348088840975,0.95688460151547,3.54636895640868
PZA00112.5,5,13664679,0.0092653249980752,0.116487455197133,279,0.259636524014069,0.278128071306969,0.95688460151547,5.91178302533152
